event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,event_month
TJK58,2019-09-29,2019,3,Strategic developments,Strategic developments,Arrests,Police Forces of Tajikistan (1994-),,State forces,Civilians (Tajikistan),,Civilians,State forces-Civilians,,762,Caucasus and Central Asia,Tajikistan,Sughd,Isfara,,Isfara,40.1223,70.6272,2,Fergana News; Dialog,National-International,"As reported on 29 September, law enforcers of the Isfara district, Tajikistan, have been summoning or even detaining residents of the district - parents of young men as a form of pressure in order to make them to join the military forces of Tajikistan. The authorities of Isfara denied the statements and complains, claiming that the residents have been only invited for conversation or explanatory work. [coded according to the version of the civilians]",0,,1572006472,2019-09-01
TJK13,2018-07-15,2018,3,Political violence,Violence against civilians,Attack,Police Forces of Tajikistan (1994-),,State forces,Civilians (Tajikistan),IRPT: Islamic Renaissance Party of Tajikistan,Civilians,State forces-Civilians,Civilian targeting,762,Caucasus and Central Asia,Tajikistan,Sughd,B Gafurov,,Khujand,40.2811,69.6392,3,Kyrgyztoday,International,"In the summer of 2018, a man was arrested as part of a group of 15 former members of the banned IRPT. Shortly after his release, he committed suicide leaving a video where he declared having been tortured by law enforcements [coded to Khujand].",0,,1618580363,2018-07-01
TJK30,2019-01-01,2019,2,Political violence,Violence against civilians,Attack,Police Forces of Tajikistan (1994-),,State forces,Civilians (Tajikistan),Women (Tajikistan),Civilians,State forces-Civilians,Civilian targeting,762,Caucasus and Central Asia,Tajikistan,Sughd,Ayni,,Ayny,39.3903,68.5392,1,Tajinfo.org,National,"In early January 2019, an elderly female resident of Aini district, Sughd region was arrested and reportedly beaten by police officers in order to provide confession to an alleged crime. Later she had to be transferred to a hospital with serious injuries.",0,,1572006494,2019-01-01
KGZ320,2019-12-16,2019,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Kok-Tash,39.9507,70.549,1,24Kg,National,"On 16 December 2019, 30-40 Kyrgyz villagers from Kok-Tash town in Batken district protested against the fence that was being installed by the Tajik villagers. Kyrgyz Border Service officers who were called in to the scene ordered to halt any construction on the disputed territory which Tajik villagers refused to do so. No further information, no report of physical violence.",0,crowd size=30-40,1578945413,2019-12-01
KGZ340,2020-01-11,2020,1,Political violence,Riots,Mob violence,Rioters (Kyrgyzstan),,Rioters,Rioters (Tajikistan),,Rioters,Rioters-Rioters,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Kok-Tash,39.9507,70.549,2,Kaktus Media; RFE/RL,National-International,"On 11 January 2020, rioters from Tajikistan threw stones at the vehicles belonging to Kyrgyz villagers in Tort-Kocho location near Kok-Tash village in Batken district that caused a verbal skirmish with the Kygryz villagers. Two groups then started to throw stoned to each other. Conflict was suppressed after intervention of the police and border services of the two countries .",0,crowd size=unknown,1579540786,2020-01-01
KGZ345,2020-01-15,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Batken,40.0639,70.8247,1,AKIpress,National,"On 15 January 2020, about 50 protesters gathered in Batken town of Batken region with the release of four villagers from the town of Kok-Tash near the border with Tajikistan. The villagers were detained after violent conflict broke out near Kok-Tash village between Tajik and Kyrgyz villagers on 11 January.",0,crowd size=about 50,1579540786,2020-01-01
KGZ389,2020-04-24,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),Farmers (Kyrgyzstan),Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Jany-Jer,40.127,70.8972,1,Sanjar Kalmatai,New media,"On 24 April 2020, 20-30 villagers and farmers protested at the nearby police quarantine roadblock as part of coronavirus measures in the village of Jany-Jer in Batken district, against the lack of irrigation water supply which protesters insisted is having a negative impact on their crop fields. Protesters demanded the local authorities resolve the issue.",0,crowd size=20-30,1588014164,2020-04-01
KGZ437,2019-04-28,2019,1,Political violence,Riots,Mob violence,Rioters (Tajikistan),,Rioters,Civilians (Kyrgyzstan),Farmers (Kyrgyzstan),Civilians,Rioters-Civilians,Civilian targeting,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Ak-Sai,39.8789,70.5192,2,Sanjar Kalmatai; Kaktus Media,New media-National,"On 28 April 2019, about 4 residents of the Tajik exclave Vorukh threw stones at the Kyrgyz villager's pickup truck damaging the vehicle's windshield near the village of Ak-Sai. Kyrgyz villager was driving through Vorukh because that is the only road Kyrgyz villagers use to get to the pastureland outside the Tajik village.",0,crowd size=about 4,1591034734,2019-04-01
KGZ430,2019-02-14,2019,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Kadamjay,,Burgondu,40.2603,71.1019,1,Sanjar Kalmatai,New media,"On 14 February 2019, 15-20 residents of the village of Burgondu in Kadamjai district of Batken region protested against several members of the Jehovas Witness Christian religious group who were in town to promote their group's beliefs among villagers.",0,crowd size=15-20,1618561119,2019-02-01
KGZ409,2018-02-27,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Kadamjay,,Maidan,40.0603,72.0856,2,Sanjar Kalmatai,New media,"On 27 February 2018, about 50 villagers in Kadamjai district protested near the village of Maidan against the Shambesai gold mining project due to environmental concerns.",0,crowd size=about 50,1618561117,2018-02-01
