event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
TJK33,27/03/2019,2019,3,Political violence,Violence against civilians,Attack,Police Forces of Tajikistan (1994-) Prison Guards,,State forces,Civilians (Tajikistan),Prisoners (Tajikistan),Civilians,State forces-Civilians,Civilian targeting,762,Caucasus and Central Asia,Tajikistan,Dushanbe,Firdavsi,,Dushanbe,38.56,68.7739,1,RFE/RL; Kyrgyztoday,International,"As reported on 27 March, inmates of a penal colony in Dushanbe complained of torture and extortion of money. Reportedly the prisoners are frequently beaten or bullied and have to pay to the officers to be treated better. The authorities deny any such accusation, but promised investigation.",0,,1618580364
TJK58,29/09/2019,2019,3,Strategic developments,Strategic developments,Arrests,Police Forces of Tajikistan (1994-),,State forces,Civilians (Tajikistan),,Civilians,State forces-Civilians,,762,Caucasus and Central Asia,Tajikistan,Sughd,Isfara,,Isfara,40.1223,70.6272,2,Fergana News; Dialog,National-International,"As reported on 29 September, law enforcers of the Isfara district, Tajikistan, have been summoning or even detaining residents of the district - parents of young men as a form of pressure in order to make them to join the military forces of Tajikistan. The authorities of Isfara denied the statements and complains, claiming that the residents have been only invited for conversation or explanatory work. [coded according to the version of the civilians]",0,,1572006472
KGZ3,04/06/2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Bishkek,Oktyabr,,Bishkek,42.8731,74.6003,1,24Kg,National,"On 4 June 2018, in Bishkek, about 30 people protested demanding release of the leaders of El Unu opposition movement.",0,crowd size=about 30,1618561112
TJK60,09/08/2019,2019,2,Political violence,Violence against civilians,Sexual violence,Police Forces of Tajikistan (1994-) Prison Guards,,State forces,Civilians (Tajikistan),Women (Tajikistan),Civilians,State forces-Civilians,Civilian targeting,762,Caucasus and Central Asia,Tajikistan,Khatlon,Vakhsh,,Rudaki,37.6926,68.8353,1,Asiaplus,International,"In the week of the holiday Qurban (around 9 August), a detained woman in Rudaki village of Vakhsh in Khatlon region was raped by the local police officers.",0,,1572006472
TJK31,15/09/2018,2018,2,Strategic developments,Strategic developments,Change to group/activity,Police Forces of Tajikistan (1994-),Military Forces of Tajikistan (1994-),State forces,,,,State forces only,,762,Caucasus and Central Asia,Tajikistan,Gorno-Badakhshan Autonomous,Shugnon,,Khorugh,37.4874,71.5491,1,Cabar,International,"In mid-September, police forces and military forces were deployed to Khorugh after a visit of the President, and stayed there for several months to combat 'lawlessness,' which raised the tensions with local residents of the region.",0,,1618580364
KGZ188,15/02/2019,2019,2,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Kyrgyzstan),,Political militia,Civilians (Kyrgyzstan),Muslim Group (Kyrgyzstan),Civilians,Political militia-Civilians,Civilian targeting,417,Caucasus and Central Asia,Kyrgyzstan,Issyk-Kul,Issyk-Kul,,Tamchy,42.5636,76.6593,1,Forum 18,International,"As reported on 8 March, in February 2019 around 10 people attacked a Muslim man in Tamchy for being a friend with a Christian man who had been beaten up over his faith in October 2018. Threats against Christians flared up after this incident.",0,,1572006473
KGZ189,15/12/2018,2018,2,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Kyrgyzstan),,Political militia,Civilians (Kyrgyzstan),Protestant Christian Group (Kyrgyzstan),Civilians,Political militia-Civilians,Civilian targeting,417,Caucasus and Central Asia,Kyrgyzstan,Issyk-Kul,Issyk-Kul,,Tamchy,42.5636,76.6593,1,Forum 18,International,"As reported on 8 March 2019, in December 2018 a Protestant Christian man was beaten by several men in a local market in Tamchy who shouted 'we know you are a Christian wand we will punish you'. He left the village afterwards for fears for his safety. Two months earlier another Christian man had been severely beaten up.",0,,1572006473
TJK13,15/07/2018,2018,3,Political violence,Violence against civilians,Attack,Police Forces of Tajikistan (1994-),,State forces,Civilians (Tajikistan),IRPT: Islamic Renaissance Party of Tajikistan,Civilians,State forces-Civilians,Civilian targeting,762,Caucasus and Central Asia,Tajikistan,Sughd,B Gafurov,,Khujand,40.2811,69.6392,3,Kyrgyztoday,International,"In the summer of 2018, a man was arrested as part of a group of 15 former members of the banned IRPT. Shortly after his release, he committed suicide leaving a video where he declared having been tortured by law enforcements [coded to Khujand].",0,,1618580363
KGZ25,01/11/2018,2018,2,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Kyrgyzstan),,Political militia,Civilians (Kyrgyzstan),Labor Group (Kyrgyzstan),Civilians,Political militia-Civilians,Civilian targeting,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Jayyl,,Kara-Balta,42.8035,73.8546,1,Kyrgyztoday,National,"In the beginning of November 2018, a worker of the Junda plant was beaten by unidentified individuals in Kara-Balta. The plant which had been described for not paying the salaries of its workers. He was previously warned not to interfere in the case.",0,,1618561108
TJK25,15/03/2018,2018,2,Political violence,Violence against civilians,Attack,Police Forces of Tajikistan (1994-),,State forces,Civilians (Tajikistan),,Civilians,State forces-Civilians,Civilian targeting,762,Caucasus and Central Asia,Tajikistan,Khatlon,Muminobod,,Muminabad,38.1093,70.0263,1,RFE/RL,International,"As reported on 20 April, in mid-March a resident of Muminabad was reportedly taken to a local police office and severely beaten by law enforcers, because of his state of intoxication by alcohol. According to his relative, even one month later he still suffered from the consequences of the beating. Exact date of the attack was not specified.",0,,1572006493
